Atom_fukui;q(N);q(N+1);q(N-1);f-;f+;f0;CDD;AtomNum;Atomic Number;Atomic Type;X;Y;Z
1(S);0.329;0.2614;0.386;0.057;0.0676;0.0623;0.0106;1;16;0;-0.243181;-1.173855;-0.766616
2(O);-0.1501;-0.163;-0.145;0.0052;0.0129;0.009;0.0077;2;8;0;-5.197532;1.569657;-0.710934
3(O);-0.3858;-0.4312;-0.3404;0.0454;0.0454;0.0454;0;3;8;0;0.107547;-2.638161;-0.670776
4(O);-0.1412;-0.1598;-0.0573;0.084;0.0186;0.0513;-0.0654;4;8;0;7.006758;0.521894;0.357988
5(N);-0.0565;-0.0794;-0.0342;0.0222;0.0229;0.0226;0.0007;5;7;0;2.431325;-1.157082;-0.400679
6(N);-0.2031;-0.2452;-0.1536;0.0494;0.0421;0.0458;-0.0073;6;7;0;1.541502;0.899425;-0.24592
7(N);-0.1626;-0.2066;-0.158;0.0046;0.044;0.0243;0.0394;7;7;0;-3.229391;-1.665876;0.971197
8(C);-0.0561;-0.0876;-0.0361;0.0201;0.0314;0.0257;0.0114;8;6;0;-1.06408;-0.632385;0.798506
9(C);0.0382;-0.01;0.0318;-0.0064;0.0482;0.0209;0.0546;9;6;0;-2.551226;-0.577782;0.602713
10(C);-0.0193;-0.0419;-0.017;0.0024;0.0225;0.0124;0.0201;10;6;0;-3.145895;0.554435;0.021832
11(C);0.0598;0.0194;0.1153;0.0555;0.0405;0.048;-0.015;11;6;0;1.321446;-0.368517;-0.423549
12(C);0.0242;0.0147;0.0718;0.0476;0.0095;0.0286;-0.038;12;6;0;3.494092;-0.312211;-0.168184
13(C);0.0759;0.0458;0.0833;0.0074;0.0301;0.0187;0.0227;13;6;0;-4.531528;0.511806;-0.143879
14(C);0.0018;-0.0061;0.0769;0.0751;0.0079;0.0415;-0.0672;14;6;0;2.918508;0.970421;-0.077825
15(C);-0.0156;-0.0712;0.0006;0.0162;0.0555;0.0359;0.0393;15;6;0;-5.267357;-0.616786;0.225813
16(C);-0.0831;-0.0915;-0.0818;0.0013;0.0083;0.0048;0.007;16;6;0;-2.345794;1.755675;-0.409594
17(C);-0.0871;-0.1203;-0.0377;0.0494;0.0332;0.0413;-0.0162;17;6;0;4.866812;-0.550103;-0.031831
18(C);0.0129;-0.0158;0.0251;0.0122;0.0287;0.0205;0.0165;18;6;0;-4.546777;-1.673766;0.776528
19(C);-0.0386;-0.0829;0.0039;0.0425;0.0443;0.0434;0.0018;19;6;0;3.744672;2.07894;0.158636
20(C);0.0731;0.0398;0.1445;0.0715;0.0333;0.0524;-0.0381;20;6;0;5.657168;0.567152;0.201438
21(C);-0.064;-0.0999;-0.0059;0.0581;0.036;0.047;-0.0221;21;6;0;5.098693;1.8659;0.294491
22(C);-0.0802;-0.0965;-0.0744;0.0058;0.0163;0.011;0.0105;22;6;0;-6.753717;-0.67505;0.015078
23(C);0.01;0.0012;0.0133;0.0034;0.0088;0.0061;0.0054;23;6;0;-5.487773;2.608154;0.214012
24(C);0.0092;0.0009;0.0299;0.0207;0.0084;0.0145;-0.0124;24;6;0;7.626776;-0.740577;0.275653
25(H);0.0435;0.0272;0.0484;0.0049;0.0163;0.0106;0.0114;25;1;0;-0.625107;0.335405;1.054681
26(H);0.0563;0.0367;0.068;0.0117;0.0196;0.0156;0.0079;26;1;0;-0.795854;-1.392107;1.536905
27(H);0.1515;0.1369;0.1714;0.0199;0.0146;0.0172;-0.0053;27;1;0;2.388379;-2.166433;-0.482747
28(H);0.0327;0.0283;0.0248;-0.0079;0.0044;-0.0018;0.0122;28;1;0;-1.421109;1.470082;-0.920591
29(H);0.0386;0.0234;0.0473;0.0088;0.0152;0.012;0.0064;29;1;0;-2.93379;2.373501;-1.091028
30(H);0.0399;0.0261;0.0426;0.0027;0.0138;0.0083;0.0111;30;1;0;-2.053119;2.371074;0.44991
31(H);0.043;0.0249;0.0722;0.0292;0.0181;0.0236;-0.0111;31;1;0;5.275129;-1.549905;-0.106594
32(H);0.0443;0.0206;0.0545;0.0102;0.0237;0.017;0.0135;32;1;0;-5.069659;-2.579507;1.079981
33(H);0.0549;0.0331;0.0867;0.0318;0.0217;0.0268;-0.0101;33;1;0;3.318588;3.073713;0.230346
34(H);0.0489;0.0266;0.0825;0.0337;0.0223;0.028;-0.0114;34;1;0;5.78375;2.686287;0.477571
35(H);0.0391;0.0235;0.0459;0.0068;0.0156;0.0112;0.0088;35;1;0;-7.143697;-1.656023;0.296817
36(H);0.0364;0.0152;0.0446;0.0082;0.0212;0.0147;0.013;36;1;0;-7.274128;0.081286;0.611944
37(H);0.0425;0.0227;0.0496;0.0071;0.0198;0.0135;0.0127;37;1;0;-7.004411;-0.484952;-1.03216
38(H);0.0487;0.0325;0.0559;0.0072;0.0161;0.0117;0.0089;38;1;0;-6.03869;3.371463;-0.336334
39(H);0.0338;0.0287;0.0336;-0.0002;0.005;0.0024;0.0052;39;1;0;-4.567935;3.043208;0.622706
40(H);0.0343;0.0265;0.0389;0.0046;0.0078;0.0062;0.0033;40;1;0;-6.102768;2.234865;1.041677
41(H);0.0357;0.0288;0.058;0.0223;0.007;0.0146;-0.0154;41;1;0;7.254879;-1.418063;1.054388
42(H);0.0497;0.0356;0.0758;0.0261;0.0141;0.0201;-0.0119;42;1;0;8.692224;-0.567013;0.424775
43(H);0.0359;0.0285;0.0583;0.0224;0.0073;0.0149;-0.0151;43;1;0;7.46587;-1.199439;-0.707838
