Atom_fukui;q(N);q(N+1);q(N-1);f-;f+;f0;CDD;AtomNum;Atomic Number;Atomic Type;X;Y;Z
1(C);0.0071;-0.0003;0.0204;0.0132;0.0075;0.0104;-0.0057;1;6;0;5.918965;1.972868;0.083081
2(O);-0.1513;-0.1618;-0.1092;0.0421;0.0106;0.0263;-0.0315;2;8;0;4.511978;1.984191;0.032352
3(C);0.0611;0.0383;0.1151;0.0541;0.0228;0.0384;-0.0313;3;6;0;3.869714;0.778037;0.041663
4(C);-0.0781;-0.113;-0.0472;0.0309;0.0349;0.0329;0.004;4;6;0;4.531737;-0.462656;0.101397
5(C);-0.0466;-0.0792;0.0038;0.0504;0.0326;0.0415;-0.0177;5;6;0;3.819851;-1.655589;0.108812
6(C);0.0068;-0.006;0.0322;0.0254;0.0127;0.0191;-0.0127;6;6;0;2.425066;-1.630815;0.056309
7(N);-0.2447;-0.2849;-0.1376;0.1071;0.0401;0.0736;-0.0669;7;7;0;1.528724;-2.682324;0.054383
8(C);0.0692;0.0546;0.0894;0.0201;0.0146;0.0174;-0.0055;8;6;0;0.351929;-2.099176;-0.006917
9(C);-0.1156;-0.1631;-0.0286;0.0871;0.0474;0.0673;-0.0396;9;6;0;-1.042357;-2.391378;-0.045364
10(C);0.0311;0.0123;0.0565;0.0255;0.0188;0.0221;-0.0067;10;6;0;-1.699954;-1.17802;-0.103417
11(N);0.0551;0.0151;0.0863;0.0312;0.0401;0.0356;0.0089;11;7;0;-0.768596;-0.136582;-0.100705
12(C);0.0116;-0.0872;0.0318;0.0202;0.0988;0.0595;0.0786;12;6;0;-1.071972;1.190438;-0.167074
13(C);-0.0318;-0.0608;0.0115;0.0434;0.029;0.0362;-0.0144;13;6;0;-2.377084;1.570626;-0.213531
14(C);-0.0792;-0.091;-0.0663;0.0129;0.0118;0.0123;-0.0011;14;6;0;-2.781979;3.013987;-0.313352
15(C);0.0666;-0.0168;0.0943;0.0277;0.0834;0.0556;0.0557;15;6;0;-3.379412;0.537811;-0.202614
16(O);-0.1506;-0.177;-0.1352;0.0154;0.0264;0.0209;0.011;16;8;0;-4.68754;0.950848;-0.269206
17(C);0.0095;-0.0088;0.0177;0.0082;0.0183;0.0132;0.0101;17;6;0;-5.306873;1.047666;1.006224
18(C);-0.0184;-0.0973;0.0099;0.0283;0.0789;0.0536;0.0506;18;6;0;-3.077201;-0.79598;-0.161803
19(C);-0.0788;-0.0996;-0.069;0.0098;0.0208;0.0153;0.011;19;6;0;-4.113138;-1.879279;-0.190645
20(N);0.0255;0.016;0.0325;0.007;0.0095;0.0083;0.0025;20;7;0;0.457267;-0.705357;-0.045573
21(C);0.0117;0.0082;0.0439;0.0322;0.0034;0.0178;-0.0288;21;6;0;1.789218;-0.354699;-0.004423
22(C);-0.0852;-0.1029;-0.0546;0.0306;0.0176;0.0241;-0.013;22;6;0;2.479805;0.850345;-0.012571
23(H);0.0348;0.027;0.0489;0.0141;0.0077;0.0109;-0.0064;23;1;0;6.348237;1.451634;-0.781597
24(H);0.0462;0.034;0.0646;0.0184;0.0121;0.0153;-0.0063;24;1;0;6.230976;3.017386;0.065416
25(H);0.0347;0.027;0.0488;0.0141;0.0077;0.0109;-0.0064;25;1;0;6.284291;1.500901;1.00364
26(H);0.038;0.018;0.0608;0.0229;0.0199;0.0214;-0.0029;26;1;0;5.613552;-0.498844;0.142694
27(H);0.0515;0.0312;0.0792;0.0276;0.0204;0.024;-0.0073;27;1;0;4.334569;-2.609286;0.155454
28(H);0.0559;0.0293;0.0893;0.0334;0.0266;0.03;-0.0068;28;1;0;-1.497902;-3.367263;-0.025607
29(H);0.0633;0.0235;0.0757;0.0124;0.0398;0.0261;0.0274;29;1;0;-0.235474;1.877257;-0.181859
30(H);0.0393;0.0219;0.0505;0.0112;0.0174;0.0143;0.0062;30;1;0;-1.902226;3.659808;-0.366394
31(H);0.0426;0.0249;0.0606;0.018;0.0177;0.0179;-0.0003;31;1;0;-3.393579;3.183441;-1.203866
32(H);0.036;0.0189;0.0538;0.0178;0.0171;0.0175;-0.0008;32;1;0;-3.378413;3.325922;0.550316
33(H);0.0345;0.023;0.0403;0.0059;0.0114;0.0087;0.0056;33;1;0;-5.352972;0.067141;1.494718
34(H);0.0339;0.0203;0.0397;0.0058;0.0136;0.0097;0.0078;34;1;0;-4.762732;1.742694;1.657171
35(H);0.0486;0.0224;0.0638;0.0153;0.0262;0.0207;0.0109;35;1;0;-6.317088;1.421225;0.835478
36(H);0.0391;0.0195;0.0547;0.0155;0.0196;0.0176;0.0041;36;1;0;-5.097787;-1.46513;-0.41195
37(H);0.0434;0.0178;0.0549;0.0115;0.0256;0.0185;0.0141;37;1;0;-3.863392;-2.617049;-0.960622
38(H);0.0404;0.0115;0.0541;0.0137;0.0289;0.0213;0.0153;38;1;0;-4.153996;-2.410489;0.76738
39(H);0.043;0.0349;0.0626;0.0196;0.0081;0.0139;-0.0115;39;1;0;2.008791;1.82507;-0.056914
